Country,Code,Year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis,Population
Spain,ESP,2013,191,27315,5559,388,0,448,350,19,776,691,402,117509,11911,662,412,3848,11,1053,56,117532,0,9188,12932,111,233,2546,32019,7974,21266,229,14,46934632
Spain,ESP,2014,187,27539,5673,406,0,444,348,15,703,687,391,118923,12347,666,409,3846,3,1103,55,118929,0,9188,13216,110,252,2479,32866,7921,21502,232,14,46934632
Spain,ESP,2015,188,27989,5874,434,0,442,324,17,668,693,387,122974,13125,615,409,3857,6,1183,59,121607,0,9401,13757,109,273,2459,34511,8063,22158,239,14,46934632
Spain,ESP,2016,164,28495,5902,437,0,434,324,18,724,696,376,123016,13192,597,409,3784,8,1205,58,122150,0,9335,13737,109,286,2435,34626,7949,22157,238,13,46934632
Spain,ESP,2017,159,29051,5941,446,0,429,328,15,713,689,374,125373,13463,556,419,3746,0,1191,58,123098,16,9546,13923,108,288,2465,35204,8050,22416,240,14,46934632
Spain,ESP,2018,157,29347,6048,457,0,429,334,15,698,714,377,128774,13844,518,423,3764,15,1206,68,124266,0,9864,14308,108,295,2535,35894,8129,22839,238,14,46934632
Spain,ESP,2019,155,29208,6137,467,0,425,335,15,679,728,378,131493,14184,483,429,3759,0,1213,59,125835,1,10135,14645,108,302,2570,36560,8218,23212,239,14,46934632
Sweden,SWE,1990,63,3733,617,60,0,138,144,6,68,97,197,46704,4271,281,401,1893,1,46,49,21672,1,1466,649,71,42,937,2481,842,2894,122,4,10333456
Sweden,SWE,1991,61,3889,692,64,0,142,159,7,83,102,197,46645,4264,278,392,1894,1,46,52,21935,2,1507,691,72,47,906,2570,861,2955,125,4,10333456
Sweden,SWE,1992,53,4028,761,66,0,137,156,3,90,109,193,46245,4252,249,386,1831,0,50,54,22088,2,1530,718,68,49,863,2643,870,2993,122,4,10333456
Sweden,SWE,1993,51,4155,826,69,0,138,146,6,97,118,188,46140,4281,223,390,1807,1,56,58,22274,0,1566,756,64,51,823,2744,870,2998,123,4,10333456
Sweden,SWE,1994,47,4255,858,69,0,134,142,3,120,125,177,44531,4060,195,394,1737,0,58,60,22070,0,1534,766,59,52,791,2753,849,2940,120,4,10333456
Sweden,SWE,1995,45,4382,913,70,0,132,133,5,138,135,177,44523,4015,163,396,1708,0,64,63,22399,1,1575,802,56,54,732,2864,856,2959,119,4,10333456
Sweden,SWE,1996,44,4463,959,73,0,127,142,5,116,151,170,44413,3986,148,415,1640,2,73,65,22640,0,1600,835,50,56,696,2962,843,2960,119,3,10333456
Sweden,SWE,1997,42,4479,988,79,0,131,134,4,54,167,170,44019,3816,136,456,1568,3,84,65,22840,1,1614,882,42,62,670,3047,828,2937,117,3,10333456
Sweden,SWE,1998,42,4467,1015,82,0,129,137,6,37,183,167,43819,3656,131,485,1521,1,100,68,23046,0,1658,908,37,64,655,3155,842,2971,173,3,10333456
Sweden,SWE,1999,42,4466,1038,89,0,129,140,2,33,204,166,43601,3599,129,499,1484,5,121,70,23220,3,1737,945,34,70,645,3259,857,3007,110,4,10333456
Sweden,SWE,2000,43,4524,1047,92,0,129,126,5,33,222,155,42965,3457,131,506,1438,1,146,73,23245,0,1787,981,31,72,630,3322,870,3028,110,3,10333456
Sweden,SWE,2001,41,4621,1056,96,0,129,122,5,42,225,155,42528,3278,143,500,1432,4,184,79,23314,0,1850,1018,31,76,617,3409,897,3070,110,3,10333456
Sweden,SWE,2002,39,4722,1076,99,0,127,133,4,35,220,155,42250,3210,144,508,1410,1,222,85,23317,0,1896,1065,29,78,593,3520,928,3143,110,3,10333456
Sweden,SWE,2003,39,4793,1077,96,0,123,119,3,33,218,142,41147,3056,143,512,1394,7,259,92,23345,0,1916,1094,29,76,578,3557,949,3144,105,3,10333456
Sweden,SWE,2004,39,4868,1079,95,0,121,125,2,28,224,134,40318,2920,138,501,1412,2,279,106,23457,0,1955,1133,29,76,565,3589,970,3134,102,3,10333456
Sweden,SWE,2005,37,4968,1089,97,0,115,124,5,31,228,132,39538,2849,126,486,1394,6,330,89,23460,2,1963,1168,28,78,534,3631,976,3122,99,3,10333456
Sweden,SWE,2006,35,5071,1107,103,0,113,118,4,26,236,130,39392,2772,132,470,1392,4,383,82,23628,0,1995,1221,29,82,516,3684,993,3160,97,3,10333456
Sweden,SWE,2007,33,5149,1122,103,0,110,137,2,34,253,125,38997,2736,125,454,1399,3,451,78,23675,1,2009,1286,29,82,501,3731,998,3169,99,3,10333456
Sweden,SWE,2008,33,5214,1130,104,0,106,118,5,22,273,118,38204,2687,125,436,1416,0,508,74,23693,0,2005,1338,30,82,478,3769,1004,3156,99,3,10333456
Sweden,SWE,2009,30,5263,1141,104,0,101,122,5,31,283,109,37656,2618,135,421,1425,0,593,72,23848,0,1995,1408,31,83,453,3832,1012,3130,100,3,10333456
Sweden,SWE,2010,29,5359,1153,107,0,94,122,3,23,295,99,37244,2553,135,405,1408,1,661,70,24014,2,1986,1497,31,86,426,3913,1014,3105,97,3,10333456
Sweden,SWE,2011,28,5450,1168,109,0,95,118,2,32,309,96,37068,2628,125,385,1412,0,714,66,24245,0,1976,1596,31,88,414,4014,1024,3116,94,3,10333456
Sweden,SWE,2012,29,5497,1178,112,0,97,114,4,24,327,92,36639,2667,139,366,1420,4,742,63,24413,1,1950,1693,33,92,402,4105,1037,3127,93,3,10333456
Sweden,SWE,2013,29,5533,1176,115,0,98,122,5,20,354,87,35939,2665,142,356,1436,11,761,61,24567,0,1923,1773,34,96,392,4148,1045,3122,91,3,10333456
Sweden,SWE,2014,28,5555,1173,121,0,99,121,4,17,386,81,35228,2630,130,350,1426,0,759,59,24780,0,1902,1832,34,101,385,4186,1052,3118,89,3,10333456
Sweden,SWE,2015,30,5639,1185,125,0,99,131,3,25,414,78,35144,2728,139,348,1418,0,778,58,25078,4,1938,1928,34,106,377,4297,1061,3146,90,3,10333456
Sweden,SWE,2016,31,5707,1204,131,0,98,125,3,24,436,77,35404,2772,143,348,1395,1,804,59,25416,2,1986,2000,34,111,370,4400,1072,3175,89,3,10333456
Sweden,SWE,2017,32,5735,1221,132,0,95,132,4,22,457,76,35524,2838,136,356,1388,1,805,60,25884,5,2037,2052,34,111,362,4483,1072,3192,90,3,10333456
Sweden,SWE,2018,31,5718,1241,130,0,94,122,3,21,470,78,36034,2843,129,359,1376,0,768,59,26211,0,2057,2015,33,109,369,4482,1073,3222,89,3,10333456
Sweden,SWE,2019,31,5637,1258,127,0,93,120,3,20,485,79,36087,2846,125,364,1369,0,742,59,26480,0,2069,1999,33,107,368,4478,1069,3226,89,3,10333456
